feature,importance
drop2_norm,0.2275777255254748
neckline_slope_per_day,0.18536203165263473
trough_sim,0.12188152616119961
l1_to_p2_t,0.11585888222305286
px_vs_ma20_l2,0.08992677113423753
p1_to_l1_t,0.04663447291137382
vol_ratio_p2,0.037690880326442376
vol_ratio_l2,0.036800107580591226
rsi_p2,0.03190861303332179
rsi_l2,0.029135210253625785
rise1_norm,0.02495702218446873
drop1_norm,0.017493163553892407
px_vs_ma50_l2,0.016121045470675253
px_vs_ma20_p2,0.010350136036695145
p2_to_l2_t,0.005303458759880814
spread_t,0.0029989531924330165
